"","X","RK","PLAYER","WS","FROM","TO","AGE","G","AS","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG_PERCENT","X2P_PERCENT","X3P_PERCENT","FT_PERCENT","TS_PERCENT","E_FG_PERCENT","POS","TEAM","O_RTG","D_RTG","OWS","DWS","WS_48","OBPM","DBPM","BPM","VORP","PER","ORB_PERCENT","DRB_PERCENT","TRB_PERCENT","AST_PERCENT","STL_PERCENT","BLK_PERCENT","TOV_PERCENT","USG_PERCENT","MVP","ROY","DPOY","SMOY","MIP","FMVP","AMVP","ALLNBA_1ST","ALLNBA_2ND","ALLNBA_3RD","ALLDEF_1ST","ALLDEF_2ND","NBA_75TH","OLYMPICS","HOF"
"286",463,463,"Tyrese Haliburton",37.6,"2020-21","2024-25","20-24",333,2,33,6.3,13.3,3.8,6.7,2.6,6.6,2.3,2.7,0.6,3,3.7,8.8,1.5,0.6,2.1,1.3,17.5,0.477,0.56,0.392,0.855,0.606,0.574,"G","IND,SAC",126,117,30.1,7.5,0.164,4.9,-0.1,4.8,18.9,20.6,2.1,10.2,6.2,38.1,2.1,1.5,12.9,21.4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
"287",464,464,"Bojan Bogdanovic",37.6,"2014-15","2023-24","25-34",719,0,29.1,5.4,11.7,3.3,6.4,2.1,5.3,2.7,3.1,0.5,3,3.6,1.7,0.6,0.1,1.7,1.6,15.6,0.46,0.514,0.394,0.859,0.594,0.549,"G-F","BRK,DET,IND,NYK,UTA,WAS",112,114,24.7,12.9,0.086,0.6,-1.5,-0.9,5.8,14.2,2,11.4,6.8,8.9,0.9,0.2,11.3,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"288",465,465,"Kevon Looney",37.4,"2015-16","2024-25","19-28",599,0,17.2,2.1,3.7,2.1,3.5,0,0.1,0.7,1.2,2.1,3.5,5.7,1.6,0.5,0.5,0.6,2.2,5,0.575,0.587,0.185,0.608,0.592,0.577,"F-C","GSW",131,109,22.3,15.1,0.174,-0.7,1.1,0.4,6.2,15.7,13.8,21.8,17.9,12.3,1.4,2.7,12.2,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"289",471,471,"Zach LaVine",37.3,"2014-15","2024-25","19-29",654,2,32.8,7.4,15.8,5.1,9.8,2.3,6,3.6,4.3,0.4,3.6,4.1,4,0.9,0.3,2.6,2.1,20.8,0.47,0.518,0.391,0.833,0.587,0.544,"G-F","CHI,MIN,SAC",110,115,24.4,12.9,0.083,2,-1.3,0.7,14.5,17.3,1.5,12.4,6.9,19.9,1.3,0.8,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"290",476,476,"Caldwell Jones",36.9,"1978-79","1989-90","28-39",906,0,25.2,2.4,5.1,2.4,5.1,0,0,1.5,1.9,1.9,5.2,7.1,1.3,0.5,1.3,1.6,3.3,6.2,0.471,0.473,0.065,0.778,0.528,0.471,"C-F","CHI,HOU,PHI,POR,SAS",100,103,3.8,33.1,0.078,-2.6,1,-1.7,2,10.1,8.2,22.1,15.3,6.3,0.8,2.9,21.5,11.9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"291",478,478,"Otto Porter Jr.",36.7,"2013-14","2023-24","20-30",527,0,25.4,4,8.3,2.7,5,1.3,3.3,1.1,1.3,1.1,3.8,4.9,1.5,1.1,0.4,0.8,1.7,10.3,0.477,0.529,0.397,0.797,0.578,0.555,"F","CHI,GSW,ORL,TOR,WAS",116,107,20.5,16.3,0.132,0.9,0.8,1.7,12.5,15.5,5,16.6,10.8,8.7,2.1,1.4,7.8,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"292",479,479,"Josh Hart",36.7,"2017-18","2024-25","22-29",530,0,30.4,3.8,8,2.5,4.4,1.2,3.6,1.5,2,1.3,5.7,7,3.2,1,0.3,1.4,2.3,10.3,0.471,0.575,0.342,0.753,0.578,0.547,"G","LAL,NOP,NYK,POR",117,112,18.9,17.8,0.109,-0.5,1,0.5,10.1,13.3,4.7,20.7,12.7,14.2,1.7,1,13.5,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"293",480,480,"Jerami Grant",36.6,"2014-15","2024-25","20-30",719,0,27.9,4.5,10,3.2,6.4,1.3,3.6,2.9,3.8,0.8,3.1,3.9,1.6,0.7,1,1.3,2.3,13.1,0.449,0.497,0.364,0.753,0.563,0.514,"F","DEN,DET,OKC,PHI,POR",111,112,19.1,17.5,0.088,-0.3,-0.2,-0.5,7.8,13.9,3.2,12.5,7.7,9,1.2,3.2,9.8,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"294",484,484,"Reggie Jackson",36.3,"2011-12","2024-25","21-34",884,0,24.7,4.6,10.9,3.3,7,1.3,3.8,1.8,2.1,0.5,2.3,2.8,4.1,0.7,0.1,1.8,1.9,12.3,0.423,0.466,0.345,0.854,0.521,0.484,"G","DEN,DET,LAC,OKC,PHI",106,111,17.5,18.8,0.08,0.2,-0.9,-0.6,7.5,14.5,2.2,10.1,6.2,26.3,1.4,0.4,13.1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"295",489,489,"Spencer Dinwiddie",36,"2014-15","2024-25","21-31",621,0,27.7,4.2,10.2,2.7,5.5,1.6,4.7,3,3.8,0.4,2.6,3,5.1,0.7,0.3,1.6,2.2,13,0.414,0.483,0.333,0.796,0.549,0.491,"G","BRK,DAL,DET,LAL,WAS",114,115,24.5,11.5,0.1,0.5,-0.6,-0.1,8.1,14.7,1.6,10,5.8,27.3,1.3,0.8,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
