"","RK","PLAYER","WS","FROM","TO","AGE","G","AS","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG_PERCENT","X2P_PERCENT","X3P_PERCENT","FT_PERCENT","TS_PERCENT","E_FG_PERCENT","POS","TEAM","O_RTG","D_RTG","OWS","DWS","WS_48","OBPM","DBPM","BPM","VORP","PER","ORB_PERCENT","DRB_PERCENT","TRB_PERCENT","AST_PERCENT","STL_PERCENT","BLK_PERCENT","TOV_PERCENT","USG_PERCENT","MVP","ROY","DPOY","SMOY","MIP","FMVP","AMVP","ALLNBA_1ST","ALLNBA_2ND","ALLNBA_3RD","ALLDEF_1ST","ALLDEF_2ND","NBA_75TH","OLYMPICS","HOF"
"2235",2235,"Jorge Gutierrez",0.8,"2013-14","2015-16","25-27",47,0,10.3,1.1,2.3,1.1,1.9,0.1,0.4,0.6,0.8,0.2,1,1.1,1.5,0.4,0,0.7,1.4,2.9,0.5,0.562,0.176,0.778,0.562,0.514,"G","BRK,CHO,MIL",106,107,0.4,0.4,0.082,-4,0.4,-3.7,-0.2,10.9,1.9,11,6.5,22.2,2,0.2,20.8,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2236",2236,"Sergey Karasev",0.8,"2013-14","2015-16","20-22",95,0,11.7,1,2.6,0.7,1.4,0.3,1.2,0.7,0.8,0.3,1.2,1.5,0.9,0.3,0,0.6,1,3,0.395,0.489,0.282,0.842,0.519,0.459,"G-F","BRK,CLE",101,111,0.3,0.5,0.036,-3,-0.4,-3.4,-0.4,8.7,3,11.2,7.1,11.3,1.5,0.3,17.1,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2237",2237,"Daniel Ewing",0.8,"2005-06","2006-07","22-23",127,0,13.3,1.3,3.3,1,2.3,0.3,1,0.6,0.7,0.3,1,1.2,1.4,0.5,0.1,0.8,1.2,3.4,0.389,0.429,0.295,0.78,0.473,0.433,"G","LAC",92,106,-1,1.8,0.024,-3.6,0.6,-3,-0.4,8.3,2.3,8.6,5.5,16,2.2,0.5,19,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2238",2238,"Hassan Adams",0.8,"2006-07","2008-09","22-24",73,0,7.5,1.1,2,1.1,2,0,0,0.4,0.6,0.5,0.7,1.2,0.2,0.2,0.1,0.4,0.7,2.5,0.534,0.537,0,0.643,0.556,0.534,"G","NJN,TOR",104,108,0.3,0.5,0.072,-1.9,-0.3,-2.3,0,11.8,7.8,10.3,9.1,4.4,1.7,0.7,13.5,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2239",2239,"Mario Kasun",0.8,"2004-05","2005-06","24-25",73,0,7.8,1.1,2.3,1.1,2.3,0,0,0.6,0.9,1,1.5,2.6,0.2,0.1,0.2,0.6,2.1,2.7,0.467,0.47,0,0.636,0.505,0.467,"C","ORL",100,105,0.2,0.6,0.069,-5.6,-1.4,-7,-0.7,10.8,15.8,22.4,19.1,3.1,0.9,2,17.3,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2240",2240,"Dwayne Bacon",0.8,"2017-18","2020-21","22-25",207,0,19.4,2.8,6.9,2.1,4.9,0.6,2,1.1,1.4,0.3,2.3,2.6,1.1,0.5,0.1,0.6,1.3,7.3,0.402,0.437,0.314,0.78,0.485,0.447,"G","CHO,ORL",99,115,-1.4,2.2,0.01,-4,-1.1,-5.1,-3.1,8.9,1.5,13.1,7.1,8.7,1.2,0.3,7.4,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2241",2241,"Kenneth Lofton Jr.",0.8,"2022-23","2023-24","20-21",45,0,8.3,1.9,3.8,1.6,2.9,0.3,0.9,0.7,1.2,0.7,1.3,2,1.2,0.2,0.2,0.6,1.2,4.8,0.497,0.554,0.317,0.623,0.556,0.535,"F","MEM,PHI,UTA",114,115,0.4,0.4,0.104,0,-0.4,-0.4,0.2,17.3,8.9,16.8,12.8,22.1,1.4,1.7,11.8,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2242",2242,"Alton Ford",0.8,"2001-02","2003-04","20-22",73,0,7.2,1,1.9,1,1.9,0,0,0.6,0.9,0.5,1.2,1.7,0.2,0.1,0.1,0.5,1.6,2.5,0.507,0.507,0,0.697,0.557,0.507,"F","HOU,PHO",101,104,0.3,0.6,0.074,-5.7,-0.7,-6.4,-0.6,9.4,7.5,19.4,13.4,3.4,0.6,1.1,18.1,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2243",2243,"Grant Gondrezick",0.8,"1986-87","1988-89","24-26",91,0,11.9,1.9,4.3,1.8,4,0.1,0.3,1.1,1.6,0.7,0.9,1.6,1.3,0.4,0.1,0.8,1.4,5,0.438,0.452,0.25,0.687,0.494,0.447,"G","LAC,PHO",101,113,0.2,0.6,0.036,-2,-1,-3,-0.3,11.1,6.5,8.5,7.5,14.5,1.6,0.3,13.7,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2244",2244,"Derrick Walton",0.8,"2017-18","2021-22","22-26",45,0,11.2,0.7,2,0.3,0.8,0.4,1.2,0.4,0.4,0.1,0.8,0.9,1.4,0.5,0.2,0.4,0.8,2.2,0.356,0.333,0.37,0.895,0.513,0.467,"G","DET,LAC,MIA",111,110,0.3,0.5,0.077,-2.6,1.5,-1,0.1,8.9,1.3,7.8,4.5,16.8,2,1.2,15.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
